label,youtube_id,time_start,time_end,split
arm wrestling,kIRmvrmc2nM,20,30,train
arm wrestling,2B65vtRd5Ck,3,13,train
arm wrestling,KQrZPK-98Ik,8,18,train
arm wrestling,YcVayT9oqCY,4,14,train
arm wrestling,vTWZ7VmDsZ0,2,12,train
arm wrestling,ecyhW6OEqaQ,29,39,train
arm wrestling,-QfOEoMWe5c,14,24,train
arm wrestling,ldczAmm3a_0,11,21,train
arm wrestling,grn5rVKA_zc,0,10,train
arm wrestling,rTZ3pjJBfJs,38,48,train
arm wrestling,_yNnzsqC318,7,17,train
arm wrestling,VIPYbKYkSR8,3,13,train
arm wrestling,SJ6-0YHUhR0,29,39,train
arm wrestling,Jzx88h4hKCw,28,38,train
arm wrestling,ES1koTFBOcw,106,116,train
arm wrestling,Nj3wOuignHQ,67,77,train
arm wrestling,f7AU1_lH0EE,0,10,train
arm wrestling,oZHNhRLte5U,423,433,train
arm wrestling,wTGik6UmhwY,4,14,train
arm wrestling,_UTqwiB-Ri4,12,22,train
arm wrestling,ocOSFYdshDg,21,31,train
arm wrestling,1etMIbKfiUE,151,161,train
arm wrestling,6KpVs7j65Uc,76,86,train
arm wrestling,TAUnvP6QVQc,2,12,train
arm wrestling,tBYzUn6dTxM,7,17,train
arm wrestling,8fTu3XnZw1A,4,14,train
arm wrestling,zPuX7tWAQ1g,33,43,train
arm wrestling,N3-q5EaTgYU,47,57,train
arm wrestling,ecx93rEObwA,2,12,train
arm wrestling,3_QoT2mDu9s,216,226,train
arm wrestling,kIXJfAj2TR4,33,43,train
arm wrestling,G138grwzBeE,24,34,train
arm wrestling,Tl6dSv1x4I0,18,28,train
arm wrestling,ZpmFKDeDJO8,17,27,train
arm wrestling,cOeZy8xmlB0,39,49,train
arm wrestling,ATEvX-fHQxs,220,230,train
arm wrestling,FSP8pzZMsFM,5,15,train
arm wrestling,PG6zKsuEIIA,15,25,train
arm wrestling,dp8Ue_cnFV4,79,89,train
arm wrestling,J0g963DIIt4,39,49,train
arm wrestling,LAC9qEHn7iY,2,12,train
arm wrestling,EOeLtsrw99A,20,30,train
arm wrestling,PJhJRHXmbuk,100,110,train
arm wrestling,Q5kJWENso_U,4,14,train
arm wrestling,cU3M5C9DHk0,12,22,train
arm wrestling,f9EG3MqFHZU,306,316,train
arm wrestling,5JxyP6y0tTI,4,14,train
arm wrestling,C1SZARQs43w,4,14,train
arm wrestling,YgV6vMG3n8U,4,14,train
arm wrestling,BwXTaoZRFC0,2,12,train
arm wrestling,Pb83qmrEvcs,0,10,train
arm wrestling,ZV41d3XnkKg,30,40,train
arm wrestling,vTcT56lXhng,77,87,train
arm wrestling,8WwuSrxiYCQ,23,33,train
arm wrestling,jCDDzv4Bgps,4,14,train
arm wrestling,1LaqzHcWJTU,31,41,train
arm wrestling,GY-0C2xZThY,43,53,train
arm wrestling,1HXMlZ6iHbc,21,31,train
arm wrestling,4kA0Nz1NYQY,85,95,train
arm wrestling,MBq6P44_Sj0,8,18,train
arm wrestling,V4RTB9LiMxI,14,24,train
arm wrestling,e_9_Zvxj4pw,7,17,train
arm wrestling,mH5aIDXkfk0,22,32,train
arm wrestling,kKAtbffqi5s,0,10,train
arm wrestling,1pJ3bXO036c,24,34,train
arm wrestling,DXitHx8EQ28,178,188,train
arm wrestling,aX0bNcE2gLE,13,23,train
arm wrestling,HbgzAW0jSNg,57,67,train
arm wrestling,LSLZcXfaRwY,212,222,train
arm wrestling,Rt2XAFG1Pp4,3,13,train
arm wrestling,fP0JsUk90zY,0,10,train
arm wrestling,GghfUsxI478,0,10,train
arm wrestling,i-xJcKYGRbg,16,26,train
arm wrestling,svdNH1Eeo94,27,37,train
arm wrestling,GO4VRknvBlo,16,26,train
arm wrestling,cp_UbqvCAAg,174,184,train
arm wrestling,H4nYxksK6Vc,22,32,train
arm wrestling,slkgtRNMgFU,333,343,train
arm wrestling,OdmNeKpMFa8,91,101,train
arm wrestling,adTj283OZZ8,11,21,train
arm wrestling,FSoGBeGLHIU,25,35,train
arm wrestling,ldkk21eh2eA,9,19,train
arm wrestling,qin-4PruydU,69,79,train
arm wrestling,DMFRb01BHVc,0,10,train
arm wrestling,naLRaQ02RYE,10,20,train
arm wrestling,9V_6nlBGqh4,0,10,train
arm wrestling,M9CI97sOD4I,12,22,train
arm wrestling,zp5WrA4CyYA,14,24,train
arm wrestling,D1kSMCkLA9I,50,60,train
arm wrestling,Oy_-KQUrkX0,12,22,train
arm wrestling,VhuuCJsXUck,80,90,train
arm wrestling,9ebOhM7gj-w,1,11,train
arm wrestling,JDxDauNf62M,319,329,train
arm wrestling,axQXoqXdxyo,8,18,train
arm wrestling,j6werYPz9Yo,11,21,train
arm wrestling,tAuhkUMU1XE,38,48,train
arm wrestling,8MNFdFDsKkU,4,14,train
arm wrestling,8YbygYLV7sw,29,39,train
arm wrestling,Fv1hkK4efvo,9,19,train
arm wrestling,g0gvrQu9JHY,8,18,train
arm wrestling,rRgzANEMdOo,0,10,train
arm wrestling,8kPgVyjTCaw,0,10,train
arm wrestling,NMN5nRTVmzo,3,13,train
arm wrestling,NjXMzGRWHM4,2,12,train
arm wrestling,UclaxkASXAs,4,14,train
arm wrestling,hdttqdqswvc,2,12,train
arm wrestling,CwsHfH4FXAA,44,54,train
arm wrestling,6qjx0r5Oxv8,55,65,train
arm wrestling,HvIKsQ4sChQ,2,12,train
arm wrestling,UwMDKMVA98A,29,39,train
arm wrestling,j2QwKP7Ox8U,220,230,train
arm wrestling,B0osQiXYzxU,160,170,train
arm wrestling,fAUyoCMhOUQ,1,11,train
arm wrestling,u6giM0p_Etc,103,113,train
arm wrestling,c6jPInSwafY,49,59,train
arm wrestling,z29Ysl590FU,13,23,train
arm wrestling,5dxHKK4_vGU,40,50,train
arm wrestling,zR0cvpPjZ6s,8,18,train
arm wrestling,P9oPJCBRU30,263,273,train
arm wrestling,U67C-ys5FKU,0,10,train
arm wrestling,w5CH2nSPUa0,31,41,train
arm wrestling,E1292OiScns,108,118,train
arm wrestling,FThqs3ZGdOE,2,12,train
arm wrestling,ggAebtqoiO4,2,12,train
arm wrestling,AUnJNhOFBfA,2,12,train
arm wrestling,CtdLbNA2Fng,1,11,train
arm wrestling,NjQT5y1dRB4,58,68,train
arm wrestling,vTGw5vqYD9Q,11,21,train
arm wrestling,BRSxoO17Wq8,119,129,train
arm wrestling,SSqrju2LHIE,110,120,train
arm wrestling,9MYDY1fYUdc,0,10,train
arm wrestling,F1yRl0-FDxs,66,76,train
arm wrestling,kpfNEOoeBRg,10,20,train
arm wrestling,rT5y_fuswt8,73,83,train
arm wrestling,m-QGNReyppI,58,68,train
arm wrestling,XYzS9ncPtHU,11,21,train
arm wrestling,vTeAa-updgY,13,23,train
arm wrestling,EWRF60Jvdog,4,14,train
arm wrestling,grjYyoEYX8s,34,44,train
arm wrestling,SgAgOFCkpu0,15,25,train
arm wrestling,Zm0R0KTGyG0,5,15,train
arm wrestling,hdqLeojMJuY,73,83,train
arm wrestling,kWPaGg1XSNY,10,20,train
arm wrestling,nOFmuov1wAw,16,26,train
arm wrestling,oVhejbLKHlY,39,49,train
arm wrestling,8yXqv31aGbQ,3,13,train
arm wrestling,Jfw0uiM4Lao,87,97,train
arm wrestling,PjIKa5EzIPI,14,24,train
arm wrestling,U6LTlBCKgXk,8,18,train
arm wrestling,U79PzQIyNMQ,1,11,train
arm wrestling,JjTpMXk4PD0,73,83,train
arm wrestling,-pyI_lAbB9k,309,319,train
arm wrestling,C4pIngmgh6M,50,60,train
arm wrestling,PjlNOx_gk4s,5,15,train
arm wrestling,CjsPrJsLIw4,1,11,train
arm wrestling,oLk3d2YyTx8,4,14,train
arm wrestling,Vi3tA9UyOfw,29,39,train
arm wrestling,ddwZiZuKOvc,36,46,train
arm wrestling,gBx1bqTe834,21,31,train
arm wrestling,nI-eb33yUJ8,13,23,train
arm wrestling,MD4RMynkcFQ,2,12,train
arm wrestling,tPtsfEmFJgI,24,34,train
arm wrestling,m-TFbEkWFfQ,2,12,train
arm wrestling,Nf2UO3RgZKc,4,14,train
arm wrestling,zppw66TjI04,38,48,train
arm wrestling,5PNu5vjYTMM,1,11,train
arm wrestling,UhSBVQr3bqE,41,51,train
arm wrestling,EggoXjC0BPg,16,26,train
arm wrestling,nOgfO16UZV0,1,11,train
arm wrestling,f9IviDr71tU,4,14,train
arm wrestling,1LbPqGs5Ngs,3,13,train
arm wrestling,AYmwH1lRhps,1,11,train
arm wrestling,hgQu-kJv90E,1,11,train
arm wrestling,GaYrUguERFA,0,10,train
arm wrestling,VTG8-_t48Yo,20,30,train
arm wrestling,g1UEwN7XdBI,32,42,train
arm wrestling,Bw7Ma7KDkCI,0,10,train
arm wrestling,D1iMSvjNZ7Y,322,332,train
arm wrestling,bTdOQM-OK-k,76,86,train
arm wrestling,vsj5uZ6sY3E,14,24,train
arm wrestling,9CoxP3EhbXE,93,103,train
arm wrestling,NfAkxW_Hog0,35,45,train
arm wrestling,ZoDsNpeJmJA,2,12,train
arm wrestling,o_s84xd7l2M,11,21,train
arm wrestling,u3rau8WnBCw,1,11,train
arm wrestling,27yWHIUhzAs,222,232,train
arm wrestling,6z-K7aBovuo,3,13,train
arm wrestling,9vGJ5hGyY7w,2,12,train
arm wrestling,M8ldSMKz1Gw,143,153,train
arm wrestling,kF0ABZacP7s,18,28,train
arm wrestling,1ooooufCJDI,133,143,train
arm wrestling,oWIAoYMmqmU,38,48,train
arm wrestling,4CWzVNMsLZA,2,12,train
arm wrestling,DwDDzSQgVTo,26,36,train
arm wrestling,Wo3aCc_uS84,7,17,train
arm wrestling,MzPt1lNxaNg,19,29,train
arm wrestling,5uui1G6cy18,141,151,train
arm wrestling,ksOj9XYRwsE,22,32,train
arm wrestling,zWoSo-pd4tI,177,187,train
arm wrestling,MifeU48B1-E,15,25,train
arm wrestling,mZ7vnRx8_Eo,25,35,train
arm wrestling,wdGCjcyOlQQ,21,31,train
arm wrestling,uD6TiswbhRQ,125,135,train
arm wrestling,CNv-nFV9etQ,52,62,train
arm wrestling,NUTBA-be60g,163,173,train
arm wrestling,HTk3WPVrvpQ,39,49,train
arm wrestling,o26H0_9heZc,44,54,train
arm wrestling,oxBYX6FkMWs,27,37,train
arm wrestling,r9pyp_TP68A,41,51,train
arm wrestling,ZLJG8PzjZPE,35,45,train
arm wrestling,slceSieG6Gg,158,168,train
arm wrestling,ZVrbsiUgpqs,11,21,train
arm wrestling,5aiE8HUb-mw,4,14,train
arm wrestling,8hOi0MZZRc4,242,252,train
arm wrestling,i-OclFXp81o,2,12,train
arm wrestling,ocRO4A6zUuk,4,14,train
